,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
3,b0003,USA300HOU_RS06760,26.897,290,183,8,1,279,4,275,2.0600000000000004e-25,99.8,310,0.9354838709677419,<=>
6,b0007,USA300HOU_RS06905,40.638000000000005,470,257,6,1,455,1,463,3.649999999999999e-114,342.0,476,0.9873949579831933,<=>
9,b0014,USA300HOU_RS08425,55.818000000000005,636,251,4,1,636,1,606,0.0,678.0,638,0.9968652037617555,<=>
10,b0015,USA300HOU_RS08420,46.982,381,187,5,1,371,1,376,8.04e-110,323.0,376,1.0132978723404256,<=>
15,b0023,USA300HOU_RS08455,42.353,85,36,3,1,79,1,78,1.5299999999999999e-09,46.6,87,0.9770114942528736,<=>
16,b0025,USA300HOU_RS06410,34.505,313,191,8,1,304,1,308,7.32e-51,167.0,313,1.0,<=>
17,b0026,USA300HOU_RS05995,42.872,933,497,13,3,924,2,909,0.0,769.0,938,0.9946695095948828,<=>
23,b0027,USA300HOU_RS06010,32.68,153,98,3,13,164,11,159,5.38e-15,65.1,164,0.9329268292682927,<=>
27,b0032,USA300HOU_RS06040,44.935,385,186,8,1,382,1,362,1.0799999999999998e-101,302.0,382,1.0078534031413613,<=>
31,b0033,USA300HOU_RS06045,49.534,1074,519,12,1,1068,1,1057,0.0,1027.0,1073,1.0009319664492078,<=>
50,b0039,USA300HOU_RS12370,22.19,347,223,12,33,355,37,360,7.96e-10,56.2,380,0.9131578947368421,<=>
54,b0047,USA300HOU_RS05005,24.772,549,327,26,9,512,5,512,7.99e-12,64.3,620,0.885483870967742,<=>
55,b0048,USA300HOU_RS07290,35.22,159,99,2,2,159,3,158,5.36e-32,108.0,159,1.0,<=>
56,b0051,USA300HOU_RS02520,34.866,261,158,2,12,260,25,285,4.84e-41,140.0,273,0.9560439560439561,<=>
65,b0063,USA300HOU_RS02900,29.818,550,347,12,1,540,1,521,4.8399999999999993e-76,247.0,566,0.9717314487632509,<=>
141,b0070,USA300HOU_RS03645,29.023000000000003,348,225,7,15,348,13,352,7.609999999999998e-37,134.0,392,0.8877551020408163,<=>
142,b0071,USA300HOU_RS11095,46.236999999999995,186,92,2,8,193,10,187,4.0599999999999993e-56,172.0,201,0.9253731343283582,<=>
143,b0072,USA300HOU_RS11090,54.623999999999995,465,200,3,1,465,1,454,5.269999999999998e-178,503.0,466,0.9978540772532188,<=>
145,b0073,USA300HOU_RS11085,47.025,353,176,5,5,357,3,344,3.1999999999999995e-115,335.0,363,0.9724517906336089,<=>
147,b0074,USA300HOU_RS11080,43.838,495,274,4,1,493,1,493,1.5899999999999998e-137,404.0,523,0.9464627151051626,<=>
151,b0077,USA300HOU_RS11065,42.58,566,312,5,2,566,33,586,4.6199999999999985e-161,469.0,574,0.9860627177700348,<=>
161,b0081,USA300HOU_RS05920,35.714,126,76,2,1,126,1,121,1.8e-23,86.3,152,0.8289473684210527,<=>
162,b0082,USA300HOU_RS05925,41.083,314,169,5,5,309,2,308,7.049999999999999e-81,244.0,313,1.0031948881789137,<=>
166,b0085,USA300HOU_RS05045,30.951999999999998,462,295,8,20,474,21,465,4.45e-65,215.0,495,0.9333333333333333,<=>
170,b0086,USA300HOU_RS11240,32.385,457,291,8,1,446,1,450,8.079999999999999e-68,219.0,452,1.011061946902655,<=>
174,b0087,USA300HOU_RS05940,41.994,331,164,7,31,354,7,316,2.4599999999999997e-77,237.0,360,0.9194444444444444,<=>
176,b0088,USA300HOU_RS05945,30.905,453,275,12,1,430,1,438,7.44e-57,190.0,438,1.0342465753424657,<=>
179,b0089,USA300HOU_RS05555,32.431999999999995,370,225,8,45,395,19,382,2.92e-52,176.0,414,0.893719806763285,<=>
181,b0090,USA300HOU_RS07245,27.273000000000003,330,222,8,7,324,3,326,7.629999999999999e-31,116.0,355,0.9295774647887324,<=>
182,b0091,USA300HOU_RS09245,30.044,456,285,12,21,474,3,426,3.44e-55,187.0,491,0.9287169042769857,<=>
189,b0094,USA300HOU_RS05955,27.041999999999998,355,243,8,11,361,7,349,3.22e-32,123.0,420,0.8452380952380952,<=>
191,b0098,USA300HOU_RS04070,45.413999999999994,905,420,12,5,899,3,843,0.0,786.0,901,1.0044395116537181,<=>
196,b0103,USA300HOU_RS08945,34.196999999999996,193,121,2,1,189,1,191,1.18e-34,118.0,206,0.9368932038834952,<=>
197,b0104,USA300HOU_RS06800,31.454,337,208,8,11,345,6,321,2.0199999999999999e-47,159.0,347,0.9711815561959655,<=>
200,b0106,USA300HOU_RS08240,21.429000000000002,350,259,8,54,397,17,356,5.28e-09,53.5,400,0.875,<=>
231,b0116,USA300HOU_RS05470,44.273,454,249,4,5,457,8,458,1.0999999999999997e-121,360.0,474,0.9578059071729957,<=>
239,b0125,USA300HOU_RS02615,48.795,166,83,1,6,171,7,170,1.52e-54,167.0,178,0.9325842696629213,<=>
242,b0127,USA300HOU_RS14835,31.034000000000002,290,183,7,20,300,22,303,2.7799999999999996e-32,118.0,308,0.9415584415584416,<=>
311,b0131,USA300HOU_RS14075,49.107,112,57,0,1,112,1,112,5.4e-35,114.0,126,0.8888888888888888,<=>
312,b0133,USA300HOU_RS14080,40.86,279,162,2,3,280,4,280,7.2499999999999985e-68,209.0,283,0.9858657243816255,<=>
313,b0134,USA300HOU_RS14085,44.318000000000005,264,136,5,5,263,3,260,5.079999999999999e-66,203.0,264,1.0,<=>
314,b0142,USA300HOU_RS02645,40.559,143,84,1,1,143,1,142,3.64e-34,114.0,159,0.89937106918239,<=>
413,b0154,USA300HOU_RS08830,52.235,425,201,2,2,426,4,426,5.679999999999997e-163,462.0,426,0.9976525821596244,<=>
419,b0156,USA300HOU_RS04660,37.255,102,64,0,11,112,6,107,2.8800000000000002e-21,78.6,114,0.8947368421052632,<=>
420,b0158,USA300HOU_RS03240,27.451,255,165,9,25,262,41,292,7.820000000000001e-26,99.8,266,0.9586466165413534,<=>
422,b0159,USA300HOU_RS08520,54.626000000000005,227,103,0,3,229,2,228,1.6799999999999995e-84,247.0,232,0.978448275862069,<=>
428,b0168,USA300HOU_RS10240,34.94,249,157,5,5,251,3,248,3.19e-52,167.0,264,0.9431818181818182,<=>
431,b0169,USA300HOU_RS06325,51.327,226,110,0,1,226,1,226,6.259999999999999e-86,252.0,241,0.9377593360995851,<=>
432,b0170,USA300HOU_RS06335,44.027,293,152,5,1,281,1,293,1.5999999999999997e-69,213.0,283,1.0353356890459364,<=>
433,b0171,USA300HOU_RS06340,44.872,234,128,1,9,241,7,240,2.0299999999999992e-72,217.0,241,0.970954356846473,<=>
434,b0172,USA300HOU_RS06345,45.652,184,100,0,2,185,1,184,1.38e-55,170.0,185,0.9945945945945946,<=>
435,b0174,USA300HOU_RS06350,43.363,226,128,0,20,245,27,252,2.5799999999999995e-68,208.0,253,0.8932806324110671,<=>
441,b0180,USA300HOU_RS11335,45.455,132,70,1,12,143,9,138,4.5899999999999994e-39,126.0,151,0.8741721854304636,<=>
443,b0184,USA300HOU_RS09030,33.029,1096,635,27,8,1094,4,1009,0.0,562.0,1160,0.9448275862068966,<=>
446,b0185,USA300HOU_RS09015,52.56399999999999,312,145,1,6,317,2,310,1.2899999999999998e-104,305.0,319,0.9780564263322884,<=>
451,b0194,USA300HOU_RS06365,44.736999999999995,570,306,7,1,569,1,562,0.0,519.0,572,0.9965034965034965,<=>
457,b0197,USA300HOU_RS02335,41.176,255,136,7,11,258,5,252,2.57e-46,153.0,271,0.940959409594096,<=>
458,b0198,USA300HOU_RS02330,52.542,177,84,0,9,185,11,187,1.4e-50,160.0,217,0.815668202764977,<=>
468,b0199,USA300HOU_RS02325,48.338,331,154,4,1,331,1,314,1.8799999999999997e-102,301.0,343,0.9650145772594753,<=>
541,b0207,USA300HOU_RS11925,37.879,264,150,6,1,258,10,265,1.4499999999999998e-49,161.0,267,0.9887640449438202,<=>
563,b0219,USA300HOU_RS10950,33.074,257,156,9,4,248,1,253,4.14e-34,120.0,256,1.00390625,<=>
566,b0231,USA300HOU_RS10290,45.973,298,157,2,2,299,4,297,6.379999999999998e-83,252.0,351,0.8490028490028491,<=>
671,b0287,USA300HOU_RS00955,31.25,176,98,2,15,189,2,155,1.5299999999999998e-25,93.6,204,0.8627450980392157,<=>
674,b0296,USA300HOU_RS11445,46.835,79,41,1,1,78,1,79,1.27e-21,77.4,87,0.9080459770114943,<=>
680,b0304,USA300HOU_RS03105,49.433,441,220,2,1,439,1,440,1.6799999999999997e-150,431.0,441,1.0,<=>
687,b0311,USA300HOU_RS14155,49.455,550,264,9,3,545,8,550,0.0,534.0,556,0.9892086330935251,<=>
688,b0312,USA300HOU_RS14160,41.336000000000006,479,270,5,7,479,9,482,1.4699999999999995e-127,377.0,490,0.9775510204081632,<=>
702,b0323,USA300HOU_RS14305,45.714,315,165,5,1,313,1,311,7.799999999999999e-87,259.0,316,0.9968354430379747,<=>
709,b0333,USA300HOU_RS08985,36.043,369,232,3,22,389,8,373,6.509999999999999e-85,259.0,389,0.9485861182519281,<=>
725,b0342,USA300HOU_RS13870,42.473,186,106,1,3,187,1,186,1.9499999999999999e-50,159.0,203,0.916256157635468,<=>
747,b0355,USA300HOU_RS14290,23.273000000000003,275,160,11,19,272,8,252,1.08e-10,57.0,277,0.9927797833935018,<=>
748,b0356,USA300HOU_RS00275,36.605,377,226,5,1,368,1,373,5.1499999999999996e-76,236.0,369,1.021680216802168,<=>
834,b0369,USA300HOU_RS08835,49.363,314,156,2,7,317,5,318,4.049999999999999e-107,312.0,324,0.9691358024691358,<=>
838,b0381,USA300HOU_RS11245,42.736999999999995,358,188,6,1,354,1,345,9.669999999999998e-101,298.0,364,0.9835164835164835,<=>
841,b0386,USA300HOU_RS08035,24.436,266,200,1,4,268,2,267,2.0899999999999996e-31,114.0,269,0.9888475836431226,<=>
851,b0398,USA300HOU_RS06850,24.096,415,245,12,1,391,1,369,3.47e-24,99.4,400,1.0375,<=>
853,b0399,USA300HOU_RS07980,41.772,237,126,3,1,228,1,234,2.8899999999999996e-58,181.0,229,1.034934497816594,<=>
879,b0401,USA300HOU_RS01625,34.325,437,257,8,7,427,2,424,9.189999999999999e-68,219.0,439,0.9954441913439636,<=>
891,b0405,USA300HOU_RS08725,45.349,344,183,3,1,343,1,340,4.569999999999999e-103,303.0,356,0.9662921348314607,<=>
892,b0406,USA300HOU_RS08720,56.983000000000004,358,153,1,12,369,17,373,2.269999999999999e-148,421.0,375,0.9546666666666667,<=>
898,b0413,USA300HOU_RS08935,45.0,140,77,0,1,140,1,140,2.32e-39,127.0,149,0.9395973154362416,<=>
899,b0414,USA300HOU_RS09400,34.722,360,215,5,6,364,4,344,2.11e-62,200.0,367,0.9809264305177112,<=>
902,b0415,USA300HOU_RS09385,57.051,156,65,2,1,156,1,154,7.169999999999998e-59,176.0,156,1.0,<=>
903,b0416,USA300HOU_RS08145,34.677,124,79,2,5,127,2,124,1.3100000000000002e-20,78.2,139,0.8920863309352518,<=>
914,b0421,USA300HOU_RS08130,40.753,292,168,4,7,298,6,292,4.989999999999999e-60,189.0,299,0.9765886287625418,<=>
917,b0423,USA300HOU_RS09095,30.273000000000003,403,253,12,8,393,10,401,1.74e-39,144.0,482,0.8360995850622407,<=>
920,b0425,USA300HOU_RS13245,23.226,310,215,9,1,291,1,306,9.07e-14,67.0,303,1.023102310231023,<=>
