,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene,ecoli_ortholog
0,,,,,,,,,,,,
1,,,,,,,,,,,,CysB
2,,,,,,,,,,,,
single_gene_1,,,,,,,,,,,True,
ArnRAB,ArnR;ArnR1+ArnA;ArnB,1.2097434983636219e-19,4.883368250271117e-19,1.0,0.875,0.9333333333333333,7.0,7.0,8.0,2.0,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
single_gene_2,YtrA,9.9624976296008e-10,5.5789986725764485e-08,0.4,0.18181818181818182,0.25000000000000006,8.0,20.0,44.0,1.0,True,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,GlpR
24,,,,,,,,,,,,
25,,,,,,,,,,,,Fur-2
FadR,FadR,6.388366996656969e-14,3.577485518127903e-12,0.5263157894736842,0.25,0.3389830508474576,10.0,19.0,40.0,1.0,,FadR/IclR
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,PurR-1
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
